,0,label
212,"[1, 32, 0]",211
213,"[1, 32, 0]",211
214,"[1, 32, 0]",211
215,"[1, 32, 0]",211
216,"[1, 32, 0]",211
217,"[1, 32, 0]",211
218,"[1, 32, 0]",211
219,"[1, 32, 0]",211
220,"[1, 150, 0]",211
221,"[1, 52, 0]",211
222,"[1, 52, 0]",211
223,"[1, 52, 0]",211
224,"[1, 52, 0]",211
225,"[1, 52, 0]",211
226,"[1, 52, 0]",211
227,"[1, 52, 0]",211
228,"[1, 52, 0]",211
229,"[1, 52, 0]",211
230,"[1, 52, 0]",211
231,"[1, 52, 0]",211
232,"[1, 52, 0]",211
233,"[1, 52, 0]",211
234,"[1, 52, 0]",211
235,"[1, 52, 0]",211
236,"[1, 52, 0]",211
237,"[1, 52, 0]",211
238,"[1, 52, 0]",211
239,"[1, 52, 0]",211
240,"[1, 52, 0]",211
241,"[1, 52, 0]",211
242,"[1, 52, 0]",211
243,"[1, 52, 0]",211
244,"[1, 52, 0]",211
245,"[1, 52, 0]",211
246,"[1, 52, 0]",211
247,"[1, 52, 0]",211
248,"[1, 52, 0]",211
249,"[1, 52, 0]",211
250,"[1, 52, 0]",211
251,"[1, 52, 0]",211
252,"[1, 52, 0]",211
253,"[1, 52, 0]",211
254,"[1, 52, 0]",211
255,"[1, 52, 0]",211
256,"[1, 52, 0]",211
257,"[1, 52, 0]",211
258,"[1, 52, 0]",211
259,"[1, 52, 0]",211
260,"[1, 52, 0]",211
261,"[1, 52, 0]",211
262,"[1, 52, 0]",211
263,"[1, 52, 0]",211
264,"[1, 52, 0]",211
265,"[1, 52, 0]",211
266,"[1, 52, 0]",211
267,"[1, 52, 0]",211
268,"[1, 52, 0]",211
269,"[1, 52, 0]",211
270,"[1, 52, 0]",211
271,"[1, 52, 0]",211
272,"[1, 52, 0]",211
273,"[1, 52, 0]",211
274,"[1, 52, 0]",211
275,"[1, 52, 0]",211
276,"[1, 52, 0]",211
277,"[1, 52, 0]",211
278,"[1, 52, 0]",211
279,"[1, 52, 0]",211
280,"[1, 52, 0]",211
281,"[1, 52, 0]",211
282,"[1, 52, 0]",211
283,"[1, 52, 0]",211
284,"[1, 52, 0]",211
285,"[1, 52, 0]",211
286,"[1, 52, 0]",211
287,"[1, 52, 0]",211
288,"[1, 52, 0]",211
289,"[1, 52, 0]",211
290,"[1, 52, 0]",211
291,"[1, 52, 0]",211
292,"[1, 52, 0]",211
293,"[1, 52, 0]",211
294,"[1, 52, 0]",211
295,"[1, 52, 0]",211
296,"[1, 52, 0]",211
297,"[1, 52, 0]",211
298,"[1, 52, 0]",211
299,"[1, 52, 0]",211
300,"[1, 52, 0]",211
