,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
2050,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1962, 46]","[0, 52, 91]","[0, 52, 91]","[0, 3883, 97]","[1, 52, 97]","[1, 116, 101]","[1, 144, 101]","[1, 331, 101]","[1, 1304, 102]","[0, 564, 145]","[0, 52, 145]","[0, 83, 145]","[1, 83, 146]","[0, 234, 148]","[0, 328, 148]","[0, 83, 148]","[1, 52, 148]",1
2051,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 2453, 47]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 98]","[1, 52, 98]","[1, 116, 99]","[1, 144, 100]","[1, 331, 100]","[1, 1304, 100]","[0, 564, 144]","[0, 83, 144]","[0, 52, 144]","[1, 83, 144]","[0, 233, 151]","[0, 328, 151]","[0, 83, 151]","[0, 223, 151]",1
2052,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 47]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 94]","[1, 52, 94]","[1, 116, 95]","[1, 144, 95]","[1, 331, 95]","[1, 1304, 96]","[0, 564, 140]","[0, 52, 140]","[0, 83, 140]","[1, 83, 141]","[0, 234, 143]","[0, 328, 143]","[0, 83, 143]","[1, 52, 144]",1
2053,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 96]","[1, 52, 96]","[1, 116, 97]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 98]","[0, 564, 142]","[0, 52, 142]","[0, 83, 142]","[0, 234, 146]","[0, 327, 146]","[0, 83, 146]","[1, 83, 146]","[0, 223, 163]",1
2054,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 47]","[0, 52, 93]","[0, 52, 93]","[0, 1427, 97]","[1, 52, 97]","[1, 116, 98]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 99]","[0, 564, 142]","[0, 52, 142]","[0, 83, 142]","[1, 83, 143]","[0, 233, 148]","[0, 327, 148]","[0, 83, 148]","[1, 52, 148]",1
2055,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 91]","[0, 52, 91]","[0, 1427, 97]","[1, 52, 97]","[1, 116, 98]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 98]","[0, 564, 143]","[0, 52, 143]","[0, 83, 143]","[1, 83, 149]","[0, 233, 154]","[0, 328, 154]","[0, 83, 154]","[1, 52, 154]",1
2056,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 97]","[1, 52, 97]","[1, 116, 98]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 99]","[0, 564, 142]","[0, 52, 142]","[0, 83, 142]","[1, 83, 146]","[0, 234, 146]","[0, 328, 146]","[0, 83, 146]","[1, 52, 146]",1
2057,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 2453, 47]","[0, 52, 93]","[0, 52, 93]","[0, 1420, 96]","[1, 52, 96]","[0, 59, 96]","[1, 52, 96]","[1, 116, 98]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 98]","[0, 564, 143]","[0, 52, 143]","[0, 83, 143]","[1, 83, 144]","[0, 234, 144]","[0, 328, 144]",1
2058,"[1, 60, 0]","[0, 60, 44]","[1, 52, 44]","[1, 1962, 46]","[0, 52, 91]","[0, 52, 91]","[0, 3881, 97]","[1, 52, 97]","[1, 116, 101]","[1, 144, 102]","[1, 331, 102]","[1, 1304, 102]","[0, 564, 145]","[0, 83, 146]","[1, 83, 147]","[0, 234, 148]","[0, 327, 148]","[0, 83, 148]","[1, 52, 148]","[0, 223, 153]",1
2059,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1962, 47]","[0, 52, 93]","[0, 52, 93]","[0, 3882, 97]","[1, 52, 97]","[1, 116, 101]","[1, 144, 102]","[1, 331, 102]","[1, 1304, 102]","[0, 564, 146]","[0, 83, 146]","[0, 52, 146]","[1, 83, 147]","[0, 234, 147]","[0, 328, 147]","[1, 52, 148]","[0, 83, 148]",1
2060,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 47]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 95]","[1, 52, 95]","[1, 116, 97]","[1, 144, 97]","[1, 331, 97]","[1, 1304, 97]","[0, 564, 141]","[0, 83, 141]","[0, 52, 141]","[1, 83, 142]","[0, 234, 144]","[0, 327, 144]","[0, 83, 144]","[1, 52, 144]",1
2061,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 2453, 47]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 96]","[1, 52, 96]","[1, 116, 97]","[1, 144, 97]","[1, 331, 97]","[1, 1304, 97]","[0, 564, 142]","[0, 52, 142]","[0, 83, 142]","[1, 83, 143]","[0, 234, 143]","[0, 328, 143]","[0, 83, 143]","[1, 52, 143]",1
2062,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 47]","[0, 52, 91]","[0, 52, 92]","[0, 1427, 96]","[1, 52, 96]","[1, 116, 97]","[1, 144, 97]","[1, 331, 97]","[0, 564, 142]","[0, 52, 142]","[0, 83, 142]","[0, 234, 145]","[0, 328, 145]","[0, 83, 145]","[1, 83, 146]","[1, 175, 161]","[1, 1181, 161]",1
2063,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 2453, 47]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 97]","[1, 52, 97]","[1, 116, 97]","[1, 144, 98]","[1, 331, 98]","[1, 1304, 98]","[0, 564, 142]","[0, 83, 142]","[0, 52, 142]","[0, 234, 144]","[0, 328, 144]","[0, 83, 144]","[1, 83, 146]","[0, 223, 153]",1
2064,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 2453, 47]","[0, 52, 93]","[0, 52, 93]","[0, 1420, 98]","[1, 52, 98]","[0, 59, 99]","[1, 52, 99]","[1, 116, 99]","[1, 144, 99]","[1, 331, 99]","[1, 1304, 99]","[0, 564, 143]","[0, 83, 144]","[0, 52, 144]","[0, 233, 146]","[0, 328, 146]","[0, 83, 146]",1
2065,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1962, 46]","[0, 52, 91]","[0, 52, 91]","[0, 3882, 98]","[1, 52, 98]","[1, 116, 103]","[1, 144, 103]","[1, 331, 103]","[1, 1304, 103]","[0, 564, 147]","[0, 52, 147]","[0, 83, 147]","[1, 83, 148]","[0, 234, 152]","[0, 326, 152]","[0, 83, 152]","[1, 52, 152]",1
2066,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 96]","[1, 52, 96]","[1, 116, 96]","[1, 144, 97]","[1, 1583, 97]","[0, 564, 141]","[0, 52, 141]","[0, 83, 141]","[1, 83, 144]","[0, 302, 150]","[0, 155, 152]","[0, 327, 152]","[0, 83, 152]","[1, 52, 153]",1
2067,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 91]","[0, 52, 91]","[0, 1427, 94]","[1, 52, 94]","[1, 116, 95]","[1, 144, 95]","[1, 331, 95]","[1, 1304, 96]","[0, 564, 140]","[0, 52, 140]","[0, 83, 140]","[1, 83, 141]","[0, 233, 142]","[0, 327, 142]","[0, 83, 142]","[1, 52, 142]",1
2068,"[1, 60, 0]","[0, 60, 44]","[1, 52, 44]","[1, 2453, 46]","[0, 52, 91]","[0, 52, 91]","[0, 1427, 95]","[1, 52, 95]","[1, 116, 96]","[1, 144, 96]","[1, 331, 96]","[1, 1304, 96]","[0, 564, 141]","[0, 52, 141]","[0, 83, 141]","[1, 83, 141]","[0, 234, 143]","[0, 328, 143]","[0, 83, 143]","[1, 52, 143]",1
2069,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 2453, 46]","[0, 52, 92]","[0, 52, 92]","[0, 1427, 95]","[1, 52, 95]","[1, 116, 96]","[1, 144, 96]","[1, 331, 96]","[1, 1304, 97]","[0, 564, 140]","[0, 52, 140]","[0, 83, 140]","[1, 83, 141]","[0, 233, 144]","[0, 328, 144]","[0, 83, 144]","[1, 52, 146]",1
2070,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1962, 46]","[0, 52, 91]","[0, 52, 91]","[0, 3882, 96]","[1, 52, 96]","[1, 116, 101]","[1, 144, 101]","[1, 331, 101]","[1, 1304, 101]","[0, 564, 146]","[0, 52, 146]","[0, 83, 146]","[1, 83, 146]","[0, 234, 148]","[0, 328, 148]","[0, 83, 148]","[1, 52, 148]",1
2071,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1891, 58]","[0, 52, 116]","[0, 52, 116]","[0, 2948, 121]","[1, 52, 121]","[0, 926, 122]","[1, 52, 122]","[1, 116, 128]","[1, 144, 129]","[1, 380, 129]","[0, 564, 185]","[0, 83, 185]","[1, 83, 185]","[0, 224, 196]","[0, 1443, 196]","[0, 1046, 196]","[0, 83, 196]",1
2072,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1891, 58]","[0, 52, 122]","[0, 52, 122]","[0, 2948, 125]","[0, 926, 125]","[1, 52, 125]","[1, 52, 125]","[1, 116, 130]","[1, 144, 130]","[1, 380, 130]","[0, 564, 187]","[0, 52, 187]","[0, 83, 187]","[1, 83, 187]","[0, 224, 198]","[0, 1443, 198]","[0, 1078, 198]",1
2073,"[1, 60, 0]","[0, 60, 167]","[1, 52, 167]","[1, 1891, 167]","[0, 52, 247]","[0, 3821, 247]","[1, 52, 247]","[1, 116, 258]","[1, 144, 259]","[1, 380, 261]","[0, 564, 328]","[0, 83, 328]","[1, 83, 328]","[0, 224, 343]","[0, 1443, 343]","[0, 1110, 343]","[1, 52, 343]","[1, 182, 363]","[1, 175, 403]","[1, 1179, 403]",1
2074,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 1891, 60]","[0, 52, 119]","[0, 1500, 122]","[1, 52, 122]","[0, 2374, 123]","[1, 52, 123]","[1, 116, 129]","[1, 144, 129]","[1, 380, 135]","[0, 573, 198]","[0, 52, 198]","[1, 83, 198]","[0, 224, 203]","[0, 1443, 203]","[1, 52, 203]","[0, 1047, 207]","[0, 83, 207]",1
2075,"[1, 60, 0]","[0, 60, 98]","[1, 52, 98]","[1, 1891, 99]","[0, 52, 205]","[0, 52, 205]","[0, 3823, 205]","[1, 52, 206]","[1, 116, 212]","[1, 144, 213]","[1, 380, 266]","[0, 52, 326]","[0, 573, 326]","[1, 83, 327]","[0, 224, 334]","[0, 1443, 335]","[0, 1047, 335]","[0, 83, 335]","[1, 52, 335]","[1, 182, 352]",1
2076,"[1, 60, 0]","[0, 60, 64]","[1, 52, 64]","[1, 1891, 64]","[0, 52, 148]","[0, 1500, 149]","[1, 52, 149]","[0, 1500, 153]","[0, 926, 153]","[1, 52, 153]","[1, 52, 153]","[1, 116, 159]","[1, 144, 159]","[1, 380, 160]","[0, 573, 221]","[1, 83, 221]","[0, 52, 225]","[1, 52, 225]","[0, 224, 241]","[0, 1443, 241]",1
2077,"[1, 60, 0]","[0, 60, 80]","[1, 52, 80]","[1, 1891, 81]","[0, 52, 240]","[0, 52, 240]","[0, 3822, 241]","[1, 52, 241]","[1, 116, 249]","[1, 144, 249]","[1, 380, 251]","[0, 564, 334]","[0, 83, 334]","[0, 224, 334]","[0, 1443, 334]","[1, 52, 334]","[1, 83, 334]","[0, 1109, 335]","[1, 182, 355]","[1, 175, 391]",1
2078,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1891, 59]","[0, 52, 118]","[0, 52, 118]","[0, 3822, 121]","[1, 52, 121]","[1, 116, 126]","[1, 144, 126]","[1, 380, 127]","[0, 564, 184]","[0, 52, 184]","[0, 83, 184]","[1, 83, 185]","[0, 224, 193]","[0, 1443, 195]","[0, 1109, 195]","[1, 52, 195]","[1, 182, 214]",1
