,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
393,"[1, 60, 0]","[0, 60, 60]","[1, 52, 60]","[1, 2122, 60]","[0, 52, 118]","[0, 1427, 123]","[1, 52, 123]","[1, 116, 125]","[1, 144, 125]","[1, 1461, 126]","[0, 564, 183]","[0, 83, 183]","[1, 52, 183]","[1, 83, 183]","[0, 52, 183]","[0, 302, 189]","[0, 185, 194]","[1, 52, 194]","[0, 1443, 194]","[0, 1047, 194]",11
394,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1851, 58]","[0, 52, 119]","[0, 52, 119]","[0, 3898, 120]","[1, 52, 120]","[1, 116, 124]","[1, 144, 124]","[1, 517, 124]","[0, 52, 182]","[0, 573, 182]","[1, 83, 182]","[0, 224, 188]","[0, 1443, 190]","[0, 1036, 190]","[0, 124, 190]","[1, 52, 190]","[1, 172, 196]",11
395,"[1, 60, 0]","[0, 60, 66]","[1, 52, 66]","[1, 1787, 67]","[0, 52, 134]","[0, 52, 134]","[0, 1500, 134]","[1, 52, 134]","[0, 2449, 137]","[1, 52, 137]","[1, 116, 144]","[1, 144, 144]","[1, 517, 161]","[0, 564, 216]","[1, 83, 216]","[0, 83, 217]","[0, 224, 236]","[0, 1443, 236]","[0, 1036, 236]","[0, 93, 236]",11
396,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 2026, 58]","[0, 52, 117]","[0, 52, 117]","[0, 1427, 119]","[1, 52, 119]","[1, 116, 121]","[1, 144, 121]","[1, 1477, 122]","[0, 52, 180]","[0, 564, 180]","[0, 83, 180]","[1, 52, 180]","[1, 83, 180]","[0, 302, 194]","[0, 185, 196]","[1, 52, 196]","[0, 1443, 198]",11
397,"[1, 60, 0]","[0, 60, 68]","[1, 52, 68]","[1, 2058, 68]","[0, 52, 132]","[0, 52, 132]","[0, 1427, 134]","[1, 52, 134]","[1, 116, 136]","[1, 144, 136]","[1, 517, 136]","[1, 1009, 136]","[0, 564, 193]","[0, 83, 193]","[1, 52, 193]","[1, 83, 193]","[0, 52, 193]","[0, 224, 201]","[0, 1443, 202]","[1, 52, 202]",11
398,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 1787, 59]","[0, 52, 117]","[0, 3897, 123]","[1, 52, 123]","[1, 116, 126]","[1, 144, 126]","[1, 517, 127]","[0, 564, 183]","[0, 83, 183]","[1, 52, 183]","[1, 83, 183]","[0, 224, 198]","[0, 1443, 198]","[0, 1078, 198]","[1, 52, 198]","[1, 172, 206]","[1, 165, 234]",11
399,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 1851, 60]","[0, 52, 119]","[0, 52, 119]","[0, 3896, 123]","[1, 52, 123]","[1, 116, 125]","[1, 144, 125]","[1, 517, 126]","[0, 52, 190]","[0, 573, 190]","[1, 83, 190]","[0, 224, 204]","[0, 1443, 204]","[0, 1084, 204]","[1, 52, 204]","[1, 172, 212]","[1, 165, 233]",11
400,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 2122, 59]","[0, 52, 120]","[0, 52, 120]","[0, 1427, 121]","[1, 52, 121]","[1, 116, 123]","[1, 144, 123]","[1, 1476, 123]","[0, 52, 180]","[0, 564, 180]","[0, 83, 180]","[1, 52, 180]","[1, 83, 180]","[0, 302, 185]","[0, 185, 186]","[1, 52, 186]","[0, 1443, 188]",11
401,"[1, 60, 0]","[0, 60, 64]","[1, 52, 64]","[1, 2026, 64]","[0, 52, 125]","[0, 1427, 126]","[1, 52, 126]","[1, 116, 128]","[1, 144, 128]","[1, 1462, 128]","[0, 52, 186]","[0, 573, 186]","[1, 83, 186]","[0, 302, 220]","[0, 185, 223]","[1, 52, 223]","[0, 1443, 223]","[0, 1110, 223]","[1, 52, 223]","[1, 121, 233]",11
402,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1787, 58]","[0, 52, 117]","[0, 1500, 120]","[1, 52, 120]","[0, 1500, 120]","[1, 52, 120]","[0, 1001, 120]","[1, 52, 120]","[1, 116, 129]","[1, 144, 130]","[1, 517, 131]","[0, 564, 186]","[0, 83, 186]","[1, 83, 187]","[0, 224, 197]","[0, 1443, 197]","[1, 52, 197]",11
403,"[1, 60, 0]","[0, 60, 61]","[1, 52, 61]","[1, 1851, 61]","[0, 52, 119]","[0, 52, 119]","[0, 1500, 124]","[1, 52, 124]","[0, 2450, 124]","[1, 52, 124]","[1, 116, 127]","[1, 144, 127]","[1, 517, 128]","[0, 52, 184]","[0, 573, 184]","[1, 83, 184]","[0, 224, 193]","[0, 1443, 193]","[1, 52, 193]","[0, 1078, 193]",11
