,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
715,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 48]","[0, 52, 94]","[0, 52, 94]","[0, 4363, 100]","[1, 52, 100]","[1, 116, 138]","[1, 222, 145]","[1, 433, 155]","[0, 564, 182]","[1, 83, 184]","[0, 83, 190]","[0, 224, 208]","[0, 1443, 208]","[0, 1048, 208]","[0, 83, 208]","[1, 52, 208]","[0, 52, 275]",20
716,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 52]","[0, 52, 97]","[0, 52, 97]","[0, 4363, 101]","[1, 52, 101]","[1, 116, 121]","[1, 222, 122]","[1, 433, 122]","[0, 564, 166]","[0, 52, 166]","[0, 83, 166]","[1, 83, 168]","[0, 224, 179]","[0, 1443, 179]","[0, 1079, 179]","[1, 52, 182]","[1, 236, 216]",20
717,"[1, 60, 0]","[0, 60, 51]","[1, 52, 51]","[1, 1947, 52]","[0, 52, 98]","[0, 52, 98]","[0, 4363, 102]","[1, 52, 102]","[1, 116, 127]","[1, 222, 128]","[1, 433, 128]","[0, 564, 171]","[0, 83, 173]","[1, 83, 182]","[0, 224, 185]","[0, 1443, 185]","[0, 1037, 185]","[0, 93, 185]","[0, 83, 185]","[1, 52, 185]",20
718,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 50]","[0, 52, 95]","[0, 52, 95]","[0, 4156, 99]","[1, 52, 99]","[0, 260, 100]","[1, 52, 100]","[1, 116, 133]","[1, 222, 134]","[1, 433, 134]","[0, 564, 178]","[0, 83, 178]","[1, 83, 178]","[0, 224, 187]","[0, 1420, 187]","[1, 52, 187]","[0, 75, 187]",20
719,"[1, 60, 0]","[0, 60, 154]","[1, 52, 154]","[1, 1947, 157]","[0, 52, 207]","[0, 52, 207]","[0, 4364, 207]","[1, 52, 207]","[1, 116, 229]","[1, 222, 233]","[1, 433, 233]","[0, 564, 334]","[1, 83, 335]","[0, 52, 428]","[0, 83, 428]","[0, 224, 428]","[0, 1443, 428]","[0, 1108, 428]","[1, 52, 429]","[1, 236, 443]",20
720,"[1, 60, 0]","[0, 60, 53]","[1, 52, 53]","[1, 1947, 56]","[0, 52, 101]","[0, 52, 101]","[0, 4362, 107]","[1, 52, 107]","[1, 116, 136]","[1, 222, 137]","[1, 433, 144]","[0, 564, 181]","[1, 83, 181]","[0, 83, 182]","[0, 224, 201]","[0, 1443, 201]","[0, 1038, 201]","[1, 52, 201]","[0, 93, 202]","[0, 83, 202]",20
721,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 47]","[0, 52, 92]","[0, 52, 92]","[0, 4362, 96]","[1, 52, 97]","[1, 116, 142]","[1, 222, 146]","[1, 433, 146]","[0, 564, 186]","[1, 52, 186]","[1, 83, 187]","[0, 52, 190]","[0, 83, 190]","[0, 224, 198]","[0, 1443, 198]","[0, 1108, 198]","[1, 52, 198]",20
722,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 49]","[0, 52, 95]","[0, 52, 95]","[0, 4362, 101]","[1, 52, 101]","[1, 116, 115]","[1, 222, 116]","[1, 433, 116]","[0, 564, 159]","[1, 83, 160]","[0, 83, 160]","[0, 224, 173]","[0, 1443, 173]","[0, 1110, 173]","[1, 52, 180]","[1, 236, 217]","[1, 126, 232]",20
723,"[1, 60, 0]","[0, 60, 47]","[1, 52, 47]","[1, 1947, 50]","[0, 52, 94]","[0, 52, 94]","[0, 4363, 99]","[1, 52, 99]","[1, 116, 142]","[1, 222, 143]","[1, 433, 147]","[0, 564, 186]","[1, 52, 186]","[1, 83, 187]","[0, 83, 187]","[0, 224, 199]","[0, 1443, 199]","[0, 1046, 199]","[0, 83, 199]","[1, 52, 207]",20
724,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 54]","[0, 52, 100]","[0, 52, 100]","[0, 4362, 104]","[1, 52, 104]","[1, 116, 133]","[1, 222, 135]","[1, 433, 137]","[0, 564, 178]","[1, 83, 179]","[0, 83, 180]","[0, 224, 193]","[0, 1443, 193]","[0, 1108, 193]","[1, 52, 193]","[1, 236, 209]","[1, 126, 217]",20
725,"[1, 60, 0]","[0, 60, 47]","[1, 52, 47]","[1, 1947, 48]","[0, 52, 93]","[0, 52, 93]","[0, 4363, 96]","[1, 52, 96]","[1, 116, 131]","[1, 222, 131]","[1, 433, 132]","[0, 564, 176]","[0, 52, 177]","[0, 83, 177]","[1, 83, 177]","[0, 224, 194]","[0, 1443, 194]","[0, 1046, 194]","[0, 83, 194]","[1, 52, 194]",20
726,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 51]","[0, 52, 97]","[0, 52, 97]","[0, 4363, 101]","[1, 52, 101]","[1, 116, 131]","[1, 222, 131]","[1, 433, 131]","[0, 564, 175]","[0, 83, 176]","[1, 83, 177]","[0, 224, 186]","[0, 1443, 186]","[0, 1079, 186]","[0, 83, 186]","[1, 52, 191]","[1, 236, 224]",20
727,"[1, 60, 0]","[0, 60, 44]","[1, 52, 44]","[1, 1947, 46]","[0, 52, 91]","[0, 52, 91]","[0, 1420, 95]","[1, 52, 95]","[0, 2996, 96]","[1, 52, 96]","[1, 116, 125]","[1, 222, 126]","[1, 433, 126]","[0, 564, 169]","[1, 83, 170]","[0, 83, 171]","[0, 224, 178]","[0, 1443, 178]","[0, 1110, 178]","[1, 52, 190]",20
728,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 48]","[0, 52, 94]","[0, 52, 94]","[0, 4362, 99]","[1, 52, 99]","[1, 116, 121]","[1, 222, 121]","[1, 433, 121]","[0, 564, 165]","[1, 83, 165]","[0, 52, 167]","[0, 83, 167]","[0, 224, 179]","[0, 1443, 179]","[0, 1039, 179]","[0, 93, 179]","[0, 83, 179]",20
729,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 49]","[0, 52, 94]","[0, 52, 94]","[0, 4363, 99]","[1, 52, 99]","[1, 116, 114]","[1, 222, 115]","[1, 433, 117]","[0, 564, 160]","[0, 83, 160]","[1, 83, 161]","[0, 224, 177]","[0, 1443, 177]","[0, 1048, 177]","[0, 83, 177]","[1, 52, 184]","[1, 236, 214]",20
730,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 51]","[0, 52, 96]","[0, 52, 96]","[0, 4362, 100]","[1, 52, 100]","[1, 116, 133]","[1, 222, 134]","[1, 433, 137]","[0, 564, 177]","[1, 83, 178]","[0, 83, 179]","[0, 224, 199]","[0, 1443, 199]","[0, 1109, 199]","[1, 52, 199]","[1, 236, 214]","[1, 126, 224]",20
731,"[1, 60, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1947, 48]","[0, 52, 94]","[0, 52, 94]","[0, 4363, 101]","[1, 52, 101]","[1, 116, 139]","[1, 222, 141]","[1, 433, 141]","[0, 564, 184]","[1, 83, 185]","[0, 83, 185]","[0, 224, 194]","[0, 1443, 194]","[0, 1109, 194]","[1, 52, 194]","[1, 236, 208]","[1, 126, 218]",20
732,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 47]","[0, 52, 93]","[0, 52, 93]","[0, 4364, 95]","[1, 52, 95]","[1, 116, 142]","[1, 222, 143]","[1, 433, 143]","[0, 564, 186]","[1, 52, 187]","[1, 83, 187]","[0, 83, 189]","[0, 224, 196]","[0, 1443, 196]","[0, 1047, 196]","[0, 83, 196]","[1, 52, 196]",20
733,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 47]","[0, 52, 92]","[0, 52, 92]","[0, 4364, 96]","[1, 52, 96]","[1, 116, 127]","[1, 222, 128]","[1, 433, 128]","[0, 564, 171]","[0, 52, 172]","[0, 83, 172]","[1, 83, 173]","[0, 224, 185]","[0, 1443, 185]","[0, 1047, 185]","[0, 83, 185]","[1, 52, 185]",20
734,"[1, 60, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1947, 47]","[0, 52, 94]","[0, 52, 94]","[0, 4364, 96]","[1, 52, 96]","[1, 116, 124]","[1, 222, 125]","[1, 433, 125]","[0, 564, 171]","[0, 83, 171]","[1, 83, 173]","[0, 224, 183]","[0, 1443, 183]","[0, 1079, 183]","[1, 52, 183]","[1, 236, 233]","[1, 126, 242]",20
