,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
2273,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 1500, 84]","[0, 1500, 84]","[0, 581, 84]","[1, 52, 84]","[1, 52, 84]","[1, 52, 84]","[1, 116, 85]","[1, 144, 85]","[1, 548, 85]","[0, 52, 124]","[0, 573, 124]","[1, 52, 124]","[1, 83, 124]","[0, 225, 148]",0
2274,"[1, 64, 0]","[0, 60, 37]","[1, 52, 37]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 75]","[0, 1500, 82]","[0, 1500, 82]","[0, 582, 82]","[1, 52, 82]","[1, 52, 82]","[1, 116, 83]","[1, 144, 84]","[1, 548, 84]","[0, 564, 121]","[0, 83, 121]","[1, 52, 121]","[1, 52, 121]","[1, 83, 122]","[0, 224, 134]",0
2275,"[1, 64, 0]","[0, 60, 37]","[1, 52, 37]","[1, 1440, 37]","[1, 392, 37]","[0, 52, 75]","[0, 1500, 83]","[0, 1500, 83]","[0, 583, 83]","[1, 52, 83]","[1, 52, 83]","[1, 116, 84]","[1, 144, 84]","[1, 548, 84]","[0, 564, 122]","[0, 83, 122]","[1, 52, 122]","[1, 52, 122]","[1, 83, 122]","[0, 224, 135]",0
2276,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 52, 76]","[0, 1500, 82]","[0, 1500, 82]","[0, 583, 82]","[1, 52, 83]","[1, 52, 83]","[1, 116, 84]","[1, 144, 84]","[1, 548, 84]","[0, 564, 122]","[1, 52, 122]","[0, 83, 122]","[1, 83, 122]","[1, 52, 122]",0
2277,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 52, 76]","[0, 1500, 81]","[0, 1500, 81]","[0, 583, 81]","[1, 52, 81]","[1, 52, 81]","[1, 52, 81]","[1, 116, 82]","[1, 144, 83]","[1, 548, 83]","[0, 564, 120]","[0, 83, 120]","[1, 52, 120]","[1, 52, 121]",0
2278,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 1500, 81]","[0, 1500, 82]","[0, 583, 82]","[1, 52, 82]","[1, 52, 82]","[1, 52, 82]","[1, 116, 83]","[1, 144, 83]","[1, 548, 83]","[0, 52, 121]","[0, 573, 121]","[1, 52, 121]","[1, 83, 121]","[0, 225, 130]",0
2279,"[1, 64, 0]","[0, 60, 37]","[1, 52, 37]","[1, 1440, 37]","[1, 392, 37]","[0, 52, 76]","[0, 1500, 79]","[0, 1500, 79]","[0, 582, 79]","[1, 52, 79]","[1, 52, 79]","[1, 116, 81]","[1, 144, 81]","[1, 548, 81]","[0, 564, 119]","[0, 83, 119]","[1, 52, 119]","[1, 52, 119]","[1, 83, 119]","[0, 224, 132]",0
2280,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 52, 76]","[0, 1500, 81]","[0, 1500, 81]","[0, 582, 81]","[1, 52, 81]","[1, 52, 81]","[1, 116, 83]","[1, 144, 83]","[1, 548, 83]","[0, 564, 120]","[0, 83, 121]","[1, 52, 121]","[1, 52, 121]","[1, 83, 121]",0
2281,"[1, 64, 0]","[0, 60, 38]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 52, 76]","[0, 1500, 82]","[0, 1500, 82]","[0, 582, 82]","[1, 52, 82]","[1, 52, 82]","[1, 116, 83]","[1, 144, 84]","[1, 548, 84]","[0, 564, 121]","[0, 83, 121]","[1, 52, 121]","[1, 52, 121]","[1, 83, 121]",0
2282,"[1, 64, 0]","[0, 60, 37]","[1, 52, 38]","[1, 1440, 38]","[1, 392, 38]","[0, 52, 76]","[0, 52, 76]","[0, 1500, 83]","[0, 1500, 83]","[0, 582, 83]","[1, 52, 83]","[1, 52, 83]","[1, 52, 83]","[1, 116, 84]","[1, 144, 84]","[1, 548, 85]","[0, 564, 122]","[0, 83, 122]","[1, 52, 122]","[1, 52, 122]",0
