,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
264,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 1962, 7]","[0, 52, 8]","[0, 1500, 19]","[1, 52, 19]","[0, 1500, 19]","[1, 52, 19]","[0, 661, 19]","[1, 52, 19]","[1, 116, 22]","[1, 144, 22]","[1, 380, 22]","[0, 52, 23]","[0, 52, 23]","[0, 52, 23]","[0, 564, 27]","[1, 83, 28]","[0, 52, 28]",112
265,"[1, 60, 0]","[0, 60, 8]","[1, 52, 8]","[1, 1962, 9]","[0, 52, 9]","[0, 1500, 23]","[1, 52, 23]","[0, 1500, 23]","[1, 52, 23]","[0, 662, 23]","[1, 52, 23]","[1, 116, 26]","[0, 52, 26]","[1, 144, 27]","[1, 380, 27]","[0, 52, 27]","[0, 52, 27]","[0, 573, 33]","[1, 83, 33]","[0, 52, 34]",112
266,"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 1962, 7]","[0, 52, 7]","[0, 52, 7]","[0, 1500, 20]","[1, 52, 20]","[0, 1500, 20]","[1, 52, 20]","[0, 661, 20]","[1, 52, 20]","[1, 116, 23]","[1, 144, 24]","[0, 52, 24]","[1, 380, 24]","[0, 52, 24]","[0, 564, 29]","[1, 83, 30]","[0, 83, 30]",112
267,"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1962, 6]","[0, 52, 6]","[0, 1500, 19]","[1, 52, 19]","[0, 1500, 19]","[1, 52, 19]","[0, 662, 19]","[1, 52, 19]","[1, 116, 23]","[0, 52, 23]","[1, 144, 24]","[1, 380, 24]","[0, 52, 24]","[0, 52, 24]","[0, 564, 29]","[1, 83, 29]","[0, 52, 30]",112
268,"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 1962, 7]","[0, 52, 7]","[0, 1500, 22]","[1, 52, 22]","[0, 1500, 22]","[1, 52, 22]","[0, 662, 22]","[1, 52, 22]","[1, 116, 25]","[1, 144, 26]","[1, 380, 26]","[0, 52, 26]","[0, 52, 26]","[0, 52, 26]","[0, 564, 30]","[1, 83, 31]","[0, 83, 31]",112
269,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 1962, 7]","[0, 52, 8]","[0, 1500, 23]","[1, 52, 23]","[0, 1500, 23]","[1, 52, 23]","[0, 662, 23]","[1, 52, 23]","[1, 116, 27]","[0, 52, 27]","[1, 144, 27]","[1, 380, 28]","[0, 52, 28]","[0, 52, 28]","[0, 564, 33]","[0, 83, 34]","[1, 83, 34]",112
270,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 1962, 7]","[0, 52, 8]","[0, 52, 8]","[0, 1500, 21]","[1, 52, 21]","[0, 1500, 21]","[1, 52, 21]","[0, 662, 22]","[1, 52, 22]","[1, 116, 26]","[0, 52, 27]","[1, 144, 27]","[1, 380, 27]","[0, 52, 27]","[0, 564, 32]","[1, 83, 32]","[0, 52, 33]",112
271,"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 1962, 7]","[0, 52, 7]","[0, 52, 7]","[0, 1500, 21]","[1, 52, 21]","[0, 1500, 21]","[1, 52, 21]","[0, 662, 21]","[1, 52, 21]","[1, 116, 25]","[1, 144, 25]","[1, 380, 25]","[0, 52, 25]","[0, 52, 25]","[0, 52, 25]","[0, 573, 30]","[1, 83, 31]",112
272,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 1962, 7]","[0, 52, 8]","[0, 1500, 20]","[1, 52, 20]","[0, 1500, 20]","[1, 52, 20]","[0, 663, 20]","[1, 52, 20]","[1, 116, 23]","[1, 144, 23]","[1, 380, 24]","[0, 52, 24]","[0, 52, 24]","[0, 52, 24]","[0, 573, 29]","[1, 83, 30]","[0, 52, 31]",112
273,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 1962, 7]","[0, 52, 8]","[0, 1500, 23]","[1, 52, 23]","[0, 1500, 23]","[1, 52, 23]","[0, 662, 23]","[1, 52, 23]","[1, 116, 26]","[1, 144, 26]","[1, 380, 27]","[0, 52, 27]","[0, 52, 27]","[0, 573, 34]","[1, 83, 35]","[0, 52, 35]","[0, 258, 42]",112
